,Lewy nadgarstek,Prawy nadgarstek,Lewe biodro,Prawe biodro,Lewe kolano,Prawe kolano,Lewa kostka,Prawa kostka
cocoHRNet AP50:90,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.8
cocoHRNet AR50:90,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81
cocoOpenPoseA AP50:90,0.75,0.75,0.79,0.79,0.77,0.78,0.76,0.76
cocoOpenPoseA AR50:90,0.77,0.77,0.8,0.81,0.78,0.79,0.77,0.77
cocoOpenPoseF AP50:90,0.66,0.67,0.75,0.75,0.72,0.73,0.7,0.7
cocoOpenPoseF AR50:90,0.69,0.7,0.78,0.78,0.76,0.76,0.73,0.73
cocoYoloF AP50:90,0.63,0.64,0.76,0.76,0.66,0.65,0.65,0.64
cocoYoloF AR50:90,0.68,0.69,0.8,0.81,0.7,0.69,0.69,0.68
cocoYoloA AP50:90,0.83,0.84,0.84,0.84,0.82,0.82,0.82,0.82
cocoYoloA AR50:90,0.85,0.86,0.86,0.86,0.84,0.84,0.84,0.83
